origin_country_code,origin_country_label_fr,reporting_country_code,reporting_country_name,sample_country_code,sample_country_name,sample_date,sample_year,sample_month,sample_day,crop_group,product_name,sampling_point,param_name,zen_detected,zen_value_ug_kg,lod_ug_kg,loq_ug_kg,result_status,result_type,origin_matches_reporting_country,origin_matches_sample_country,sampling_strategy,program_type,sample_method,source_archive,source_file,resId_A,latitude,longitude,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,cloud_cover_mean
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-04,2019,4,4,barley,Barley grain (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,7D166F2660E545297C5DAA35B8A9640E,55.779,9.119,2019-04-04,5.7,13.4,8.989583,77.79983,0.2,89.083336
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-04,2019,4,4,barley,Barley grain (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,5FAE6A5787C285A5A1D73714F4EDA050,55.779,9.119,2019-04-04,5.7,13.4,8.989583,77.79983,0.2,89.083336
CZ,Tchequie,CZ,Czechia,CZ,Czechia,2019-04-05,2019,4,5,wheat,Wheat grains (feed),Storage,Zearalenone,no,,,20.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National) programme,,CZ_latest_15410924_contaminants.zip,OCC_CHEMMON2020_CZ_2019.ZIP/OCC_CHEMMON2020_CZ_2019.CSV,7AE0BF9719FFEAB40F882A88032986B3,49.765,15.05,2019-04-05,5.5,17.0,11.404166,65.42736,0.1,72.958336
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-10,2019,4,10,barley,Barley grain (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,1D55C9CCFD364F062CAB4C805FD1A255,55.779,9.119,2019-04-10,1.3208333,4.6,-2.75,64.06144,0.0,63.75
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-10,2019,4,10,maize,Maize silage (feed),Primary production,Zearalenone,yes,12.31147011,,1.4,quantified_positive,Numerical Value,yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,73726970767CAE7113DA6B504C1E70D2,55.779,9.119,2019-04-10,1.3208333,4.6,-2.75,64.06144,0.0,63.75
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-11,2019,4,11,wheat,Wheat grains (feed),Primary production,Zearalenone,yes,21.41590664,,15.0,quantified_positive,Numerical Value,yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,A7657F4EAAFC1761FAE00A1E8E108EC3,55.779,9.119,2019-04-11,2.1979167,4.95,-1.7,67.917564,0.2,70.666664
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-12,2019,4,12,barley,Barley grain (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,80824826BD66E5E59C1CD0AEEEA330D4,55.779,9.119,2019-04-12,1.2833333,6.05,-3.0,69.09269,1.4000001,34.833332
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-12,2019,4,12,wheat,Wheat grains (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,A653AE80E4607DDDEA04AA4CE775B7A8,55.779,9.119,2019-04-12,1.2833333,6.05,-3.0,69.09269,1.4000001,34.833332
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-15,2019,4,15,wheat,Wheat grains (feed),Primary production,Zearalenone,no,13.15577635,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,07C78949B1C732C7331468199AFCCC51,55.779,9.119,2019-04-15,0.25,7.6,4.235417,64.62516,0.0,6.9166665
DK,Danemark,DK,Denmark,DK,Denmark,2019-04-15,2019,4,15,barley,Barley grain (feed),Primary production,Zearalenone,no,,,15.0,not_quantified_below_loq,Non Quantified Value ( less than LOQ),yes,yes,Objective sampling,Official (National and EU) programme,According to Reg 152/2009,DK_latest_15402714_contaminants.zip,OCC_CHEMMON2020_DK_2019.ZIP/OCC_CHEMMON2020_DK_2019.CSV,FA2632DBC752EF714F627B56A4697518,55.779,9.119,2019-04-15,0.25,7.6,4.235417,64.62516,0.0,6.9166665
